title,imdbid,year,rating,POPULARITY,passed
Daredevil,287978,2003,0,24.208,False
In the Cut,199626,2003,3,11.865,True
A Tale of Two Sisters,365376,2003,3,30.486,True
Thirteen,328538,2003,3,12.813,True
Undead,339840,2003,3,8.422,True
Big Fish,319061,2003,1,19.221,False
"Barbarian Invasions, The",338135,2003,3,7.976,True
Something&#39;s Gotta Give,337741,2003,3,11.99,True
Prey for Rock &amp; Roll,307351,2003,3,6.606,True
Dogville,276919,2003,3,14.931,True
Shattered Glass,323944,2003,2,11.705,False
House of Sand and Fog,315983,2003,3,10.212,True
Final Destination 2,309593,2003,3,30.247,True
Casa de los babys,303830,2003,3,4.235,True
Secondhand Lions,327137,2003,1,13.013,False
"Dreamers, The",309987,2003,2,13.624,False
Tough Luck,376263,2003,0,2.303,False
Girl with a Pearl Earring,335119,2003,3,12.634,True
Peter Pan,316396,2003,3,19.465,True
It&#39;s Better to Be Wanted for Murder Than Not to Be Wanted at All,339882,2003,1,0.877,False
Scary Godmother: Halloween Spooktakular,330859,2003,3,6.17,True
Hulk,286716,2003,1,33.736,False
Charlie&#39;s Angels: Full Throttle,305357,2003,3,20.917,True
"School of Rock, The",332379,2003,3,24.583,True
Jeepers Creepers II,301470,2003,3,25.275,True
Terminator 3: Rise of the Machines,181852,2003,3,28.271,True
Wrong Turn,295700,2003,3,44.92,True
Daddy Day Care,317303,2003,3,16.536,True
Mystic River,327056,2003,3,15.586,True
Apr&egrave;s Vous,344604,2003,3,3.87,True
Bon voyage,310778,2003,3,5.913,True
Moi et mon blanc,377094,2003,1,0.6,False
Dreamcatcher,285531,2003,0,25.153,False
Oldboy,364569,2003,1,21.997,False
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,368667,2003,0,6.853,False
Coffee and Cigarettes,379217,2003,3,10.778,True
"Mother, The",323298,2003,3,4.021,True
Cradle 2 the Grave,306685,2003,1,16.805,False
Ong-bak,368909,2003,0,19.023,False
Timeline,300556,2003,1,16.173,False
De gr&oslash;nne slagtere (&#39;Green Butchers&#39;),342492,2003,1,4.937,False
2 Fast 2 Furious,322259,2003,1,4.817,False
"Forest for the Trees, The",386862,2003,3,3.255,True
21 grams,315733,2003,3,16.45,True
Darkness Falls,282209,2003,1,17.252,False
"Spring, Summer, Fall, Winter... and Spring",374546,2003,1,8.214,False
House of the Dead,317676,2003,2,11.799,False
Elephant,363589,2003,3,14.709,True
"Heung joh chow heung yau chow (Turn Left, Turn Right)",367174,2003,3,2.518,True
Gothika,348836,2003,3,24.776,True
High Roller: The Stu Ungar Story,338467,2003,3,4.485,True
Stupeur et Tremblements,318725,2003,3,5.69,True
My Boss&#39;s Daughter,270980,2003,3,12.33,True
Basic,264395,2003,3,14.157,True
Intolerable Cruelty,138524,2003,3,10.728,True
High Tension,338095,2003,3,162.397,True
An Unexpected Love,329679,2003,3,4.009,True
"Lizzie McGuire Movie, The",306841,2003,3,13.001,True
Fear X,289944,2003,1,7.428,False
"Station Agent, The",340377,2003,3,8.99,True
Rugrats Go Wild,337711,2003,3,13.216,True
Ju-on 2,367913,2003,3,116.279,True
Once Upon a Time in Mexico,285823,2003,1,17.177,False
Johnny English,274166,2003,1,24.15,False
Robot Stories,301777,2003,3,6.566,True
Time of the Wolf,324197,2003,2,5.847,False
Old School,302886,2003,2,15.282,False
"Cheetah Girls , The",800318,2003,3,11.793,True
Soldier&#39;s Girl,324013,2003,3,6.726,True
Brother Bear,328880,2003,0,31.717,False
Memories of Murder,353969,2003,3,23.391,True
Evil,338309,2003,1,7.591,False
House of 1000 Corpses,251736,2003,3,21.031,True
What a Girl Wants,286788,2003,1,13.125,False
Love Me If You Dare,364517,2003,1,9.169,False
My Life Without Me,314412,2003,3,14.769,True
Bad Santa,307987,2003,0,15.521,False
Elf,319343,2003,1,13.707,False
I&#39;m Not Scared,326977,2003,3,6.504,True
Freddy vs. Jason,329101,2003,3,41.575,True
Open Water,374102,2003,1,13.284,False
Off the Map,332285,2003,3,7.152,True
Anger Management,305224,2003,1,18.621,False
Kontroll,373981,2003,0,5.61,False
Nathalie...,348853,2003,3,3.687,True
Kangaroo Jack,257568,2003,1,13.824,False
April&#39;s Shower,325007,2003,3,8.076,True
Right on Track,323810,2003,3,5.805,True
Cheaper by the Dozen,349205,2003,1,19.177,False
Barbie of Swan Lake,383206,2003,3,26.069,True
Owning Mahowny,285861,2003,1,10.481,False
Sylvia,325055,2003,3,7.024,True
Milchwald,331698,2003,3,2.441,True
Azumi,384819,2003,0,6.061,False
Tears of the Sun,314353,2003,3,20.377,True
Mais qui a tu&eacute; Pamela Rose?,338828,2003,1,5.435,False
Paycheck,338337,2003,2,16.142,False
Warrior Queen,338806,2003,3,6.202,True
In Hell,339135,2003,0,16.017,False
Gigli,299930,2003,0,12.014,False
"Brown Bunny, The",330099,2003,3,12.855,True
Pokemon: Jirachi - Wish Maker,420076,2003,3,10.41,True
"Cat in the Hat, The",312528,2003,3,21.47,True
Bad Boys II,172156,2003,1,33.021,False
"Hebrew Hammer, The",317640,2003,2,5.616,False
And Starring Pancho Villa as Himself,337824,2003,0,5.337,False
"I, Robot",343818,2004,1,32.344,False
"Incredibles, The",317705,2004,3,38.52,True
"Day After Tomorrow, The",319262,2004,3,28.405,True
"Butterfly Effect, The",289879,2004,2,21.452,False
"Bourne Supremacy, The",372183,2004,2,24.45,False
"Whole Ten Yards, The",327247,2004,1,13.63,False
Eternal Sunshine of the Spotless Mind,338013,2004,2,28.436,False
Kinsey,362269,2004,3,8.904,True
Shrek 2,298148,2004,3,72.607,True
Mean Girls,377092,2004,3,27.036,True
Harold and Kumar Go to White Castle,366551,2004,3,19.22,True
Hauru no ugoku shiro (Howl's Moving Castle),347149,2004,3,48.264,True
Resident Evil: Apocalypse,318627,2004,3,15.429,True
Wimbledon,360201,2004,3,8.772,True
Ae Fond Kiss...,380366,2004,2,5.334,False
Anchorman: The Legend of Ron Burgundy,357413,2004,3,13.631,True
Flight of the Phoenix,377062,2004,0,12.861,False
Ocean's Twelve,349903,2004,2,31.361,False
Kill Bill: Vol. 2,378194,2004,3,22.248,True
D.E.B.S.,367631,2004,3,9.753,True
Iron Jawed Angels,338139,2004,3,6.19,True
Saved!,332375,2004,3,11.812,True
Sky Captain and the World of Tomorrow,346156,2004,3,12.059,True
Spanglish,371246,2004,3,14.177,True
A Dirty Shame,365125,2004,3,10.908,True
Mulan II,279967,2004,3,49.969,True
Bring It on Again,334965,2004,3,0.681,True
"Notebook, The",332280,2004,3,30.408,True
Shimotsuma monogatari (Kamikaze Girls),416220,2004,3,5.759,True
Saw,387564,2004,2,59.23,False
Ella Enchanted,327679,2004,3,25.452,True
Banlieue 13,414852,2004,0,15.929,False
I Heart Huckabees,356721,2004,3,11.069,True
Ghost Cat,371835,2004,3,2.232,True
Cube Zero,377713,2004,3,15.269,True
Troy,332452,2004,1,39.621,False
Van Helsing,338526,2004,3,32.194,True
Ladies in Lavender,377084,2004,3,8.803,True
Shaun of the Dead,365748,2004,3,23.008,True
"Princess Diaries 2: Royal Engagement, The",368933,2004,3,23.965,True
Catwoman,327554,2004,3,24.373,True
"Mickey, Donald, Goofy: The Three Musketeers",371823,2004,2,17.797,False
Double Dare,365135,2004,3,4.171,True
Primer,390384,2004,1,64.493,False
50 First Dates,343660,2004,2,22.532,False
Speak,378793,2004,3,9.633,True
"Stepford Wives, The",327162,2004,3,13.813,True
Million Dollar Baby,405159,2004,3,25.452,True
Around the World in 80 Days,327437,2004,1,15.723,False
In Good Company,385267,2004,1,12.285,False
Innocence,375233,2004,3,4.991,True
"Chronicles of Riddick, The",296572,2004,2,12.812,False
Miracle,349825,2004,1,10.587,False
A Christmas Carol: The Musical,406649,2004,1,3.773,False
A Very Long Engagement,344510,2004,3,9.808,True
Spider-Man 2,316654,2004,1,25.408,False
A Cinderella Story,356470,2004,3,23.016,True
Der Untergang (Downfall),363163,2004,3,15.09,True
Appleseed,401233,2004,3,8.614,True
Or,388311,2004,3,0.931,True
Finding Neverland,308644,2004,3,13.724,True
Closer,376541,2004,3,23.534,True
"Terminal, The",362227,2004,1,20.543,False
My Summer of Love,382189,2004,3,9.723,True
Lemony Snicket&#39;s A Series of Unfortunate Events,339291,2004,3,15.433,True
Immortal (Ad Vitam),314063,2004,3,6.413,True
AVP: Alien vs. Predator,370263,2004,3,23.838,True
Sideways,375063,2004,3,11.374,True
Garden State,333766,2004,3,10.323,True
Napoleon Dynamite,374900,2004,1,13.51,False
Harry Potter and the Prisoner of  Azkaban,304141,2004,3,95.712,True
Team America: World Police,372588,2004,2,12.951,False
A Good Woman,379306,2004,3,8.336,True
"Phantom of the Opera, The",293508,2004,2,13.436,False
Hana and Alice,407851,2004,3,3.181,True
A Home at the End of The World,359423,2004,3,9.327,True
Palindromes,362004,2004,1,10.708,False
Collateral,369339,2004,1,23.812,False
Saving Face,384504,2004,3,13.491,True
Vera Drake,383694,2004,3,11.0,True
Three... Extremes,420251,2004,3,8.094,True
Mysterious Skin,370986,2004,1,9.034,False
Head-On,347048,2004,3,7.267,True
Cellular,337921,2004,3,15.389,True
"Final Cut, The",364343,2004,2,9.388,False
With Blood on My Hands: Pusher II,396184,2004,3,7.046,True
Notre musique,360845,2004,1,2.925,False
Ray,350258,2004,3,19.734,True
Dawn of the Dead,363547,2004,3,26.72,True
New York Minute,363282,2004,3,12.647,True
2046,212712,2004,3,9.604,True
"Aviator, The",338751,2004,1,21.07,False
Maria Full of Grace,390221,2004,3,7.604,True
A Love Song for Bobby Long,369672,2004,3,9.487,True
Scooby Doo 2: Monsters Unleashed,331632,2004,3,16.973,True
Raising Helen,350028,2004,3,12.943,True
Kung Fu Hustle,373074,2004,0,23.436,False
3-Iron,423866,2004,1,16.456,False
Crash,375679,2004,3,18.596,True
"Grudge, The",391198,2004,3,32.21,True
13 Going on 30,337563,2004,3,22.725,True
They Came Back,378661,2004,3,3.415,True
Tales From The Crapper,338479,2004,3,4.947,True
"Polar Express, The",338348,2004,1,32.269,False
Layer Cake,375912,2004,1,15.582,False
Connie and Carla,345074,2004,3,7.704,True
Gladiatress,339072,2004,3,5.709,True
Nochnoy dozor (Night Watch),403358,2004,1,10.636,False
Ginger Snaps 2: Unleashed,353489,2004,3,15.213,True
White Chicks,381707,2004,3,37.86,True
Hellboy,167190,2004,1,26.843,False
Crimes of Fashion,414923,2004,3,9.544,True
"Life Aquatic with Steve Zissou, The",362270,2004,2,14.423,False
Home on the Range,299172,2004,3,26.235,True
Taxi,316732,2004,3,20.676,True
Eulogy,349416,2004,3,8.5,True
Secret Window,363988,2004,1,22.635,False
Raise Your Voice,361696,2004,3,19.945,True
Caribe,439491,2004,3,0.6,True
Bride and Prejudice,361411,2004,3,11.95,True
Nina,399412,2004,3,1.904,True
House of Voices (Saint Ange),367000,2004,3,5.602,True
Creep,381966,2004,3,11.493,True
"Holy Girl, The",300270,2004,3,3.539,True
"Village, The",368447,2004,3,24.931,True
Bridget Jones: The Edge of Reason,317198,2004,3,18.568,True
Shark Tale,307453,2004,1,30.458,False
In Search of Santa,439623,2004,3,3.654,True
Corpses,409842,2004,3,2.728,True
Before Sunset,381681,2004,0,9.914,False
Dodgeball: A True Underdog Story,364725,2004,3,18.217,True
Meet the Fockers,290002,2004,3,19.854,True
National Treasure,368891,2004,2,19.786,False
Jennifer&#39;s Shadow,382761,2004,3,3.66,True
"Librarian: Quest for the Spear, The",412915,2004,3,12.546,True
After the Sunset,367479,2004,3,13.961,True
Taking Lives,364045,2004,2,12.361,False
Dear Frankie,377752,2004,3,9.122,True
Jersey Girl,300051,2004,2,10.918,False
Bionicle 2: Legends of Metru Nui,387658,2004,0,5.411,False
"Machinist, The",361862,2004,1,19.121,False
"Perfect Score, The",314498,2004,3,15.471,True
She Hate Me,384533,2004,2,6.461,False
Being Julia,340012,2004,3,6.715,True
Alexander,346491,2004,1,26.426,False
Shutter,440803,2004,1,18.448,False
Christmas with the Kranks,388419,2004,3,16.696,True
Veer-Zaara,420332,2004,3,7.701,True
Swades,367110,2004,3,7.387,True
Without a Paddle,364751,2004,3,12.073,True
Puppet Master vs Demonic Toys,431340,2004,3,7.797,True
"Lion King 1 1/2, The",318403,2004,1,28.385,False
Mango Kiss,304377,2004,3,2.765,True
Barbie as the Princess and the Pauper,426955,2004,3,29.222,True
"Prince and Me, The",337697,2004,1,14.511,False
9 Songs,411705,2004,0,19.09,False
"Door in the Floor, The",348593,2004,1,9.405,False
Naruto the Movie: Ninja Clash in the Land of Snow,476680,2004,3,32.154,True
"Sea Inside, The",369702,2004,3,10.757,True
Dead Man&#39;s Shoes,419677,2004,1,9.214,False
"Assassination of Richard Nixon, The",364961,2004,1,9.725,False
Blessed,390450,2004,3,3.315,True
Yu-Gi-Oh!: The Movie,403703,2004,0,19.873,False
Romasanta,374180,2004,2,5.993,False
Stage Beauty,368658,2004,2,9.066,False
"SpongeBob SquarePants Movie, The",345950,2004,3,46.414,True
Sleepover,368975,2004,3,11.848,True
A Separate Peace,328400,2004,0,2.519,False
Before the Fall,384369,2004,1,7.773,False
House of D,372334,2004,1,10.769,False
Mindhunters,297284,2004,1,16.69,False
One Point O,317042,2004,1,8.906,False
Dirty Dancing: Havana Nights,338096,2004,3,14.808,True
"Punisher, The",330793,2004,1,29.055,False
Blade: Trinity,359013,2004,3,26.803,True
"Edukators, The",408777,2004,3,6.789,True
"Passion of the Christ, The",335345,2004,3,43.802,True
Magyar vandor,370919,2004,0,1.247,False
Stop Mom Theresa!,379071,2004,2,1.827,False
In my country,349260,2004,3,4.252,True
Hotel,415855,2004,3,2.178,True
MXP: Most Extreme Primate,330588,2004,1,4.344,False
Stuck in the Suburbs,410696,2004,3,11.626,True
Soul Plane,367085,2004,3,12.589,True
Pokemon the Movie: Destiny Deoxys,435286,2004,1,9.676,False
Walking Tall,351977,2004,1,18.072,False
Marseille,360779,2004,3,2.428,True
Confessions of Teenage Drama Queen,361467,2004,3,12.864,True
Skeleton Man,372832,2004,3,7.9,True
EuroTrip,356150,2004,1,22.096,False
Daniel the Wizard,421051,2004,1,2.09,False
Tremors 4: The Legend Begins,334541,2004,3,23.061,True
Thunderbirds,167456,2004,3,9.786,True
Dead Leaves,439533,2004,3,5.754,True
Garfield,356634,2004,0,33.5,False
Balto III: Wings of Change,423849,2004,3,10.27,True
"Motorcycle Diaries, The",318462,2004,1,9.152,False
Hotel Rwanda,395169,2004,2,15.88,False
You Got Served,365957,2004,3,17.274,True
Seed of Chucky,387575,2004,3,45.011,True
"Pleasure Drivers, The",425357,2005,3,2.989,True
Wild Things: Diamonds in the Rough,448179,2005,3,13.905,True
Batman Begins,372784,2005,1,51.325,False
Sin City,401792,2005,3,26.562,True
"Hitchhiker&#39;s Guide to the Galaxy, The",371724,2005,1,18.52,False
V for Vendetta,434409,2005,3,34.759,True
Robots,358082,2005,1,20.922,False
Walk the Line,358273,2005,3,15.864,True
Serenity,379786,2005,3,20.712,True
Assault on Precinct 13,398712,2005,3,13.675,True
Kiss Kiss Bang Bang,373469,2005,1,15.674,False
Jarhead,418763,2005,0,18.098,False
Transamerica,407265,2005,3,9.379,True
Herbie Fully Loaded,400497,2005,3,23.635,True
Joyeux No&euml;l,424205,2005,0,8.008,False
Junebug,418773,2005,3,11.617,True
Man of the House,331933,2005,3,9.967,True
"Descent, The",435625,2005,3,21.263,True
Thank You for Smoking,427944,2005,1,12.319,False
Hard Candy,424136,2005,3,13.953,True
"Good Night, and Good Luck.",433383,2005,1,12.03,False
Hide and Seek,382077,2005,3,17.523,True
"Island, The",399201,2005,3,22.766,True
Brick,393109,2005,1,17.045,False
Conversations with Other Women,435623,2005,0,9.221,False
Star Wars: Episode III - Revenge of the Sith,121766,2005,1,26.635,False
King Kong,360717,2005,0,42.101,False
Imagine Me &amp;amp; You,421994,2005,3,13.513,True
Chinjeolhan geumjassi,451094,2005,3,10.482,True
North Country,395972,2005,3,11.676,True
Oliver Twist,380599,2005,1,10.97,False
"40 Year Old Virgin, The",405422,2005,3,19.544,True
"Skeleton Key, The",397101,2005,3,22.779,True
Broken Flowers,412019,2005,3,11.268,True
Casanova,402894,2005,3,13.709,True
Sophie Scholl - Die letzten Tage,426578,2005,3,5.549,True
"Legend of Zorro, The",386140,2005,1,18.59,False
War of the Worlds,407304,2005,3,36.474,True
Miss Congeniality 2: Armed &amp; Fabulous,385307,2005,3,18.271,True
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The",363771,2005,3,38.354,True
Factotum,417658,2005,1,9.47,False
Saw II,432348,2005,3,38.305,True
Angel-A,473753,2005,0,13.377,False
Doom,419706,2005,1,22.71,False
Kingdom of Heaven,320661,2005,0,25.57,False
"Muppets&#39; Wizard of Oz, The",422778,2005,3,10.341,True
"New World, The",402399,2005,3,12.541,True
"Mostly Unfabulous Social Life of Ethan Green, The",424287,2005,3,5.415,True
Corpse Bride,121164,2005,3,68.164,True
Just Like Heaven,425123,2005,3,23.685,True
AEon Flux,402022,2005,3,28.078,True
"Constant Gardener, The",387131,2005,3,10.189,True
"Sun, The",439817,2005,0,2.322,False
In Her Shoes,388125,2005,3,11.244,True
"Squid and the Whale, The",367089,2005,2,10.914,False
Waiting...,348333,2005,3,12.903,True
A Bittersweet Life (Dalkomhan insaeng),456912,2005,2,12.528,False
Sky High,405325,2005,3,19.799,True
"Jacket, The",366627,2005,2,17.281,False
"Adventures of Sharkboy and Lavagirl 3-D, The",424774,2005,1,25.307,False
Danny the dog,342258,2005,1,20.391,False
"Sisterhood of the Traveling Pants, The",403508,2005,3,10.424,True
Mrs Palfrey at The Claremont,421229,2005,3,4.703,True
Brokeback Mountain,388795,2005,2,24.178,False
Lord of War,399295,2005,2,18.077,False
Me and You and Everyone We Know,415978,2005,3,8.859,True
Enron: The Smartest Guys in the Room,1016268,2005,1,9.387,False
Wedding Crashers,396269,2005,3,18.635,True
Red Eye,421239,2005,3,14.225,True
Shopgirl,338427,2005,2,10.41,False
Domino,421054,2005,3,15.572,True
Kinky Boots,434124,2005,3,9.951,True
Harry Potter and the Goblet of Fire,330373,2005,1,104.04,False
Cinderella Man,352248,2005,2,15.871,False
Happy Endings,361693,2005,3,8.693,True
Rent,294870,2005,3,10.894,True
Charlie and the Chocolate Factory,367594,2005,3,51.053,True
Flightplan,408790,2005,3,12.649,True
Strangers with Candy,369994,2005,3,7.326,True
Fun with Dick and Jane,369441,2005,3,20.831,True
Dark Water,382628,2005,3,12.592,True
Fantastic Four,120667,2005,1,31.996,False
Tristram Shandy: A Cock and Bull Story,423409,2005,2,8.273,False
"Ballad of Jack and Rose, The",357110,2005,3,7.457,True
Coach Carter,393162,2005,3,15.923,True
Tideland,410764,2005,3,8.033,True
Dear Wendy,342272,2005,1,5.722,False
Hoodwinked!,443536,2005,3,16.955,True
Nine Lives,420015,2005,3,7.086,True
L&#39;empire des loups,402158,2005,3,5.528,True
Final Fantasy VII: Advent Children,385700,2005,3,18.698,True
Madagascar,351283,2005,0,41.505,False
Isolation,446719,2005,1,8.731,False
Memoirs of a Geisha,397535,2005,3,17.601,True
Hustle &amp; Flow,410097,2005,3,8.625,True
MirrorMask,366780,2005,3,11.34,True
Proof,377107,2005,3,10.545,True
Mr. &amp; Mrs. Smith,356910,2005,2,28.125,False
"Devil&#39;s Rejects, The",395584,2005,3,17.981,True
House of the Dead 2,435665,2005,3,9.194,True
"Ring Two, The",377109,2005,3,26.083,True
Ice Princess,396652,2005,3,15.728,True
Constantine,360486,2005,1,40.28,False
Hostel,450278,2005,1,29.089,False
"Yours, Mine and Ours",443295,2005,3,11.484,True
"Wedding Date, The",372532,2005,3,16.663,True
Legion of the Dead,441041,2005,3,5.003,True
Capote,379725,2005,3,11.234,True
Beauty Shop,388500,2005,3,11.373,True
Barbie: Fairytopia,450982,2005,3,24.225,True
Match Point,416320,2005,3,17.059,True
Hitch,386588,2005,2,24.353,False
Kids in America,408961,2005,3,4.964,True
Must Love Dogs,417001,2005,2,16.167,False
Single White Female 2: The Psycho,448120,2005,3,5.906,True
Twelve and Holding,417385,2005,3,7.73,True
BloodRayne,383222,2005,3,14.821,True
Rumor Has It...,398375,2005,3,11.662,True
Stealth,382992,2005,1,13.134,False
Vampire Bats,473105,2005,3,7.488,True
Pride and Prejudice,414387,2005,3,32.606,True
Hate Crime,415833,2005,2,4.653,False
"Proposition, The",421238,2005,1,10.932,False
"Fog, The",432291,2005,3,17.753,True
Adam &amp; Steve,372122,2005,3,4.727,True
Munich,408306,2005,1,17.165,False
"Exorcism of Emily Rose, The",404032,2005,3,29.054,True
Bewitched,374536,2005,3,13.807,True
"Three Burials of Melquiades Estrada, The",419294,2005,3,10.018,True
20 centimetros,421528,2005,3,2.238,True
Cursed,257516,2005,3,63.938,True
Paradise Now,445620,2005,1,9.853,False
"Amityville Horror, The",384806,2005,3,31.02,True
Son of the Mask,362165,2005,1,34.351,False
Last Order: Final Fantasy VII,489134,2005,0,2.905,False
Boynton Beach Club,439478,2005,3,4.993,True
Le couperet,422015,2005,3,6.663,True
White Noise,375210,2005,1,13.535,False
Separate Lies,369053,2005,1,4.897,False
Keeping Mum,444653,2005,3,9.649,True
Transporter 2,388482,2005,1,29.395,False
Gespenster,419773,2005,3,2.601,True
Adam&#39;s Apples,418455,2005,0,10.236,False
Boogeyman,357507,2005,2,13.082,False
Sweet Land,428038,2005,3,6.171,True
Boy Eats Girl,415679,2005,2,8.018,False
Mortuary,415167,2005,3,6.729,True
Lords of Dogtown,355702,2005,2,10.824,False
Zathura: A Space Adventure,406375,2005,0,19.915,False
Barbie and the Magic of Pegasus,480345,2005,3,24.559,True
Valiant,361089,2005,1,11.794,False
Turtles Are Surprisingly Fast Swimmers,455577,2005,3,1.888,True
Gekijoban XXXHolic Manatsu no yoru no yume,466405,2005,3,12.114,True
Urban Legends: Bloody Mary,451957,2005,3,22.042,True
Swimmers,384573,2005,3,3.885,True
Romance &amp; Cigarettes,368222,2005,3,14.562,True
C.R.A.Z.Y.,401085,2005,3,8.52,True
Fr&aacute;giles (Fragile),422272,2005,3,11.855,True
A History of Violence,399146,2005,3,14.241,True
"Violin, The",451966,2005,1,1.564,False
Breakfast on Pluto,411195,2005,2,9.171,False
Rinne,456630,2005,3,9.57,True
Die Hohle des gelben Hundes,432325,2005,3,3.066,True
"Prize Winner of Defiance, Ohio, The",406158,2005,3,5.183,True
"Longest Yard, The",398165,2005,1,32.755,False
Funky Forest: The First Contact,451829,2005,3,3.864,True
Little Manhattan,412922,2005,3,11.713,True
"Pacifier, The",395699,2005,3,21.787,True
House of Wax,397065,2005,2,26.863,False
Monster-in-Law,369735,2005,0,13.871,False
Elektra,357277,2005,3,17.07,True
Free Zone,441761,2005,3,3.505,True
Rofuto,443231,2005,3,3.22,True
Chicken Little,371606,2005,1,19.046,False
Wolf Creek,416315,2005,3,16.384,True
Linda Linda Linda,468795,2005,3,4.932,True
13 Tzameti,475169,2005,1,4.645,False
"Perfect Man, The",380623,2005,3,14.635,True
Four Brothers,430105,2005,1,16.284,False
Cry_Wolf,384286,2005,3,8.9,True
Kronk&#39;s New Groove,401398,2005,3,19.161,True
"Producers, The",395251,2005,0,16.051,False
Twitches,467421,2005,1,24.597,False
Little Fish,382810,2005,3,6.468,True
Where the Truth Lies,373450,2005,3,11.182,True
All the Invisible Children,411098,2005,3,3.592,True
Stay,371257,2005,1,12.509,False
"Quiet, The",414951,2005,3,9.805,True
Just Sex and Nothing Else,402115,2005,2,0.6,False
Say Uncle,401385,2005,2,3.84,False
Tickets,418239,2005,0,2.223,False
Elizabethtown,368709,2005,3,11.578,True
Wallace &amp; Gromit: The Curse of the Were-Rabbit,312004,2005,1,16.817,False
La moustache,428856,2005,2,3.874,False
Azumi 2: Death or Love,431641,2005,3,7.58,True
Survival Island,377309,2005,2,14.762,False
Santa&#39;s Slay,393685,2005,3,8.519,True
Tyler Perry&#146;s Diary of a mad black woman,422093,2005,3,10.42,True
"Family Stone, The",356680,2005,3,11.534,True
Cheaper by the Dozen 2,452598,2005,2,15.468,False
Green Street Hooligans,385002,2005,0,14.767,False
THE MATADOR,365485,2005,1,10.579,False
Nanny McPhee,396752,2005,0,23.873,False
"Magic of Ordinary Days, The",406046,2005,3,5.984,True
Idiocracy,387808,2006,1,10.128,False
"Devil Wears Prada, The",458352,2006,3,32.507,True
Pirates of the Caribbean: Dead Man&#39;s Chest,383574,2006,2,51.039,False
Penelope,472160,2006,3,12.421,True
"Pursuit of Happyness, The",454921,2006,0,31.7,False
"Holiday, The",457939,2006,3,19.593,True
Casino Royale,381061,2006,1,36.796,False
I Served the King of England,284363,2006,1,4.147,False
Brand Upon The Brain!,443455,2006,3,7.195,True
Crank,479884,2006,0,21.424,False
Marie Antoinette,422720,2006,3,17.261,True
X-Men: The Last Stand,376994,2006,3,1.632,True
Children of Men,206634,2006,3,29.015,True
Volver,441909,2006,3,10.771,True
Bandidas,416496,2006,3,10.182,True
Starter for 10,477095,2006,2,8.537,False
Night at the Museum,477347,2006,3,30.664,True
